Category,Variable,Description
Atmospheric,Temperature,Controls evaporation and transpiration rates.
Atmospheric,Humidity,Low humidity increases water loss; high humidity slows evaporation.
Atmospheric,Wind Speed,Increases evaporation and transpiration by removing moisture from leaves.
Atmospheric,Rainfall Amount,Primary input of water into the forest.
Atmospheric,Rainfall Intensity,Determines how much water infiltrates vs becomes runoff.
Atmospheric,Solar Radiation,Drives evaporation and influences soil/air temperature.

Forest Structure,Canopy Cover,Intercepts rainfall and controls light and ground evaporation.
Forest Structure,Tree Density,More trees increase transpiration and water uptake.
Forest Structure,Leaf Area Index,Total leaf surface area affects rainfall interception and transpiration.
Forest Structure,Understory Vegetation,Helps retain soil moisture and reduce runoff/erosion.

Soil,Soil Moisture,Amount of water stored in soil for plant use.
Soil,Soil Type/Texture,Determines storage and drainage (clay retains; sand drains).
Soil,Soil Temperature,Influences evaporation and microbial activity.
Soil,Soil Organic Matter,Increases soil water retention (forest floor litter acts like a sponge).
Soil,Infiltration Rate,How fast water absorbs into soil.

Hydrological,Runoff,Water flowing across surface instead of soaking in.
Hydrological,Groundwater Level,Long-term underground water storage.
Hydrological,Streamflow,Water leaving the forest through streams/rivers.

Biological,Tree Species Type,Different species use/retain water differently.
Biological,Root Depth,Controls access to deep groundwater vs surface moisture.
Biological,Seasonal Leaf Changes,Affects canopy cover and transpiration.

Disturbance,Wildfire History,Reduces canopy and increases soil evaporation/runoff.
Disturbance,Pests/Diseases,Reduce transpiration or kill trees; affects canopy cover.
Disturbance,Deforestation/Logging,Removes canopy and increases water loss/runoff.

